bike_name,price,city,kms_driven,owner,age,power,brand
Bajaj V15 150cc,50000,Delhi,9200,First Owner,4,150,Bajaj
Royal Enfield Thunderbird 350cc,100000,Bangalore,30294,First Owner,5,350,Royal Enfield
Royal Enfield Thunderbird 350cc,66000,Delhi,19756,First Owner,8,350,Royal Enfield
Royal Enfield Bullet Electra 350cc,77000,Delhi,13000,First Owner,8,350,Royal Enfield
Royal Enfield Classic 350cc,92500,Delhi,11000,First Owner,6,350,Royal Enfield
Bajaj Pulsar NS200,57000,Bangalore,28948,First Owner,5,200,Bajaj
Royal Enfield Electra 350cc,72500,Delhi,10000,First Owner,10,350,Royal Enfield
Honda X-Blade 160cc,80000,Kolkata,12000,First Owner,2,160,Honda
Royal Enfield Classic 350cc,123600,Jaipur,7702,First Owner,3,350,Royal Enfield
Suzuki Hayabusa 1300cc,950000,Chennai,312,First Owner,3,1300,Suzuki
Royal Enfield Classic 350cc,107000,Ahmedabad,17000,First Owner,4,350,Royal Enfield
Ducati Monster 821 Dark,600000,Bangalore,16000,First Owner,5,821,Ducati
Yamaha FZ S V 2.0 150cc Rear Disc,80000,Delhi,3500,First Owner,3,150,Yamaha
Suzuki Gixxer SF 150cc Special MOTOGP Edition Rear Disc,75000,Bhubaneshwar,11050,First Owner,4,150,Suzuki
Hero Super Splendor 125cc,43778,Ernakulam,948,First Owner,2,125,Hero
KTM RC 200cc,118000,Delhi,11200,Second Owner,5,200,KTM
Yamaha FZ V 2.0 150cc,68000,Bangalore,10407,First Owner,5,150,Yamaha
Bajaj Discover 125ST,27000,Bangalore,23000,First Owner,8,125,Bajaj
Hero Splendor Plus Kick Alloy 100cc,48500,Delhi,5500,First Owner,2,100,Hero
Hero Karizma 223cc,15000,Delhi,38000,First Owner,15,223,Hero
KTM Duke 200cc,95000,Navi Mumbai,23000,First Owner,5,200,KTM
KTM Duke 200cc,145000,Amritsar,4500,First Owner,4,200,KTM
Yamaha FZs 150cc,62000,Delhi,11227,First Owner,3,150,Yamaha
Hero Splendor 100cc,25000,Hyderabad,45000,First Owner,9,100,Hero
Ducati 1198 SP 1198cc,700000,Ahmedabad,100,First Owner,6,1198,Ducati
Royal Enfield Bullet 500cc,160000,Bangalore,3500,First Owner,3,500,Royal Enfield
Bajaj Avenger Street 220,47500,Mumbai,30000,First Owner,5,220,Bajaj
Yamaha Fazer 150cc,21000,Bagalkot,38000,First Owner,9,150,Yamaha
Yamaha Gladiator 125cc,18000,Bhopal,22000,First Owner,12,125,Yamaha
Hero Karizma R 223cc,36000,Bangalore,54560,First Owner,8,223,Hero
Yamaha FZ 150cc,52000,Bangalore,33150,First Owner,6,150,Yamaha
Harley-Davidson Iron 883,435000,Jaipur,5550,Second Owner,7,883,Harley-Davidson
TVS Apache RTR 200 4V Fi,68000,Bangalore,12077,First Owner,5,200,TVS
Bajaj Pulsar 220cc,80000,Pune,5000,First Owner,4,220,Bajaj
Royal Enfield Classic Desert Storm 500cc,110800,Mumbai,13300,First Owner,6,500,Royal Enfield
TVS Apache RTR 160 4V DISC ABS BS6,85000,Hyderabad,16000,First Owner,2,160,TVS
Royal Enfield Electra 350cc,145000,Bangalore,4000,First Owner,2,350,Royal Enfield
Bajaj Dominar 400 ABS,145000,Bangalore,3000,First Owner,3,400,Bajaj
Royal Enfield Classic Gunmetal Grey 350cc,149000,Mumbai,7000,First Owner,3,350,Royal Enfield
Hero HF Deluxe i3s iBS 100cc,60000,Mumbai,4000,First Owner,2,100,Hero
Royal Enfield Classic 350cc,140000,Mumbai,11000,First Owner,4,350,Royal Enfield
KTM Duke 200cc,85000,Mumbai,15000,First Owner,7,200,KTM
Bajaj Pulsar 220cc,86000,Mumbai,15000,First Owner,3,220,Bajaj
Royal Enfield Bullet Electra 350cc,115000,Hyderabad,15500,First Owner,4,350,Royal Enfield
Suzuki Gixxer SF Fi 150cc ABS,83000,Bangalore,500,First Owner,3,150,Suzuki
KTM Duke 200cc,85000,Mumbai,15000,First Owner,7,200,KTM
Bajaj Pulsar 220cc,86000,Mumbai,15000,First Owner,3,220,Bajaj
Royal Enfield Bullet Electra 350cc,115000,Hyderabad,15500,First Owner,4,350,Royal Enfield
Suzuki Gixxer SF Fi 150cc ABS,83000,Bangalore,500,First Owner,3,150,Suzuki
Bajaj Pulsar 180cc,28000,Bangalore,35251,First Owner,12,180,Bajaj
Hero Splendor Plus 100cc,14500,Delhi,35000,First Owner,14,100,Hero
